Method: Insert, Data Type: User, Iteration: 1, Elapsed: 181.3361ms,
Method: Insert, Data Type: User, Iteration: 10, Elapsed: 1.8247909s,
Method: Insert, Data Type: User, Iteration: 100, Elapsed: 16.8693798s,
Method: Insert, Data Type: Note, Iteration: 1, Elapsed: 127.7571ms,
Method: Insert, Data Type: Note, Iteration: 10, Elapsed: 1.3448985s,
Method: Insert, Data Type: Note, Iteration: 100, Elapsed: 14.1356891s,
Method: Insert, Data Type: Note, Iteration: 1000, Elapsed: 2m34.6667153s,
Method: Insert, Data Type: Note, Iteration: 10000, Elapsed: 28m10.6768894s,
Method: Get, Data Type: User, Iteration: 1, Elapsed: 12.9489ms,
Method: Get, Data Type: User, Iteration: 10, Elapsed: 489.2791ms,
Method: Get, Data Type: User, Iteration: 100, Elapsed: 5.1683497s,
Method: Get, Data Type: Note, Iteration: 1, Elapsed: 62.5363ms,
Method: Get, Data Type: Note, Iteration: 10, Elapsed: 519.5676ms,
Method: Get, Data Type: Note, Iteration: 100, Elapsed: 5.1490376s,
Method: Get, Data Type: Note, Iteration: 1000, Elapsed: 51.5350679s,
Method: Get, Data Type: Note, Iteration: 10000, Elapsed: 8m38.0913012s,
Method: Get, Data Type: User Notes, Iteration: 1, Elapsed: 143.4114ms,
Method: Get, Data Type: User Notes, Iteration: 10, Elapsed: 693.2616ms,
Method: Get, Data Type: User Notes, Iteration: 100, Elapsed: 6.4094503s,
Method: Patch, Data Type: User, Iteration: 1, Elapsed: 257.3343ms,
Method: Patch, Data Type: User, Iteration: 10, Elapsed: 1.5469472s,
Method: Patch, Data Type: User, Iteration: 100, Elapsed: 15.5828264s,
Method: Patch, Data Type: Note, Iteration: 1, Elapsed: 117.2528ms,
Method: Patch, Data Type: Note, Iteration: 10, Elapsed: 1.2172056s,
Method: Patch, Data Type: Note, Iteration: 100, Elapsed: 16.852097s,
Method: Patch, Data Type: Note, Iteration: 1000, Elapsed: 2m34.9691138s,
Method: Patch, Data Type: Note, Iteration: 10000, Elapsed: 25m52.5991317s,
Method: Get, Data Type: User Modified Notes Stats, Iteration: 1, Elapsed: 5.9644ms,
Method: Get, Data Type: User Modified Notes Stats, Iteration: 10, Elapsed: 588.0331ms,
Method: Get, Data Type: User Modified Notes Stats, Iteration: 100, Elapsed: 6.2868714s,
Method: Get, Data Type: User Stats, Iteration: 1, Elapsed: 384.6666ms,
Method: Get, Data Type: User Stats, Iteration: 10, Elapsed: 6.814595s,
Method: Get, Data Type: User Stats, Iteration: 100, Elapsed: 1m32.3461589s,
Method: Delete, Data Type: Note, Iteration: 1, Elapsed: 495.8384ms,
Method: Delete, Data Type: Note, Iteration: 10, Elapsed: 1.9658255s,
Method: Delete, Data Type: Note, Iteration: 100, Elapsed: 14.6211704s,
Method: Delete, Data Type: Note, Iteration: 1000, Elapsed: 2m35.0547702s,
Method: Delete, Data Type: Note, Iteration: 10000, Elapsed: 26m19.6859088s,
Method: Delete, Data Type: User, Iteration: 1, Elapsed: 118.8446ms,
Method: Delete, Data Type: User, Iteration: 10, Elapsed: 1.4424727s,
Method: Delete, Data Type: User, Iteration: 100, Elapsed: 15.3070753s,
