Method: Insert, Data Type: User, Iteration: 1, Elapsed: 61.2021ms,
Method: Insert, Data Type: User, Iteration: 10, Elapsed: 749.2956ms,
Method: Insert, Data Type: User, Iteration: 100, Elapsed: 6.175969s,
Method: Insert, Data Type: Note, Iteration: 1, Elapsed: 46.6606ms,
Method: Insert, Data Type: Note, Iteration: 10, Elapsed: 581.0093ms,
Method: Insert, Data Type: Note, Iteration: 100, Elapsed: 5.53864s,
Method: Insert, Data Type: Note, Iteration: 1000, Elapsed: 56.5685137s,
Method: Insert, Data Type: Note, Iteration: 10000, Elapsed: 9m13.9965328s,
Method: Get, Data Type: User, Iteration: 1, Elapsed: 66.7583ms,
Method: Get, Data Type: User, Iteration: 10, Elapsed: 541.5267ms,
Method: Get, Data Type: User, Iteration: 100, Elapsed: 5.053337s,
Method: Get, Data Type: Note, Iteration: 1, Elapsed: 49.8799ms,
Method: Get, Data Type: Note, Iteration: 10, Elapsed: 509.0559ms,
Method: Get, Data Type: Note, Iteration: 100, Elapsed: 5.0205937s,
Method: Get, Data Type: Note, Iteration: 1000, Elapsed: 50.3080331s,
Method: Get, Data Type: Note, Iteration: 10000, Elapsed: 8m24.1052934s,
Method: Get, Data Type: User Notes, Iteration: 1, Elapsed: 60.937ms,
Method: Get, Data Type: User Notes, Iteration: 10, Elapsed: 553.036ms,
Method: Get, Data Type: User Notes, Iteration: 100, Elapsed: 5.1015701s,
Method: Patch, Data Type: User, Iteration: 1, Elapsed: 67.1792ms,
Method: Patch, Data Type: User, Iteration: 10, Elapsed: 511.7314ms,
Method: Patch, Data Type: User, Iteration: 100, Elapsed: 5.0752415s,
Method: Patch, Data Type: Note, Iteration: 1, Elapsed: 61.8342ms,
Method: Patch, Data Type: Note, Iteration: 10, Elapsed: 562.4674ms,
Method: Patch, Data Type: Note, Iteration: 100, Elapsed: 5.5610508s,
Method: Patch, Data Type: Note, Iteration: 1000, Elapsed: 54.7185534s,
Method: Patch, Data Type: Note, Iteration: 10000, Elapsed: 9m8.7404525s,
Method: Delete, Data Type: Note, Iteration: 1, Elapsed: 53.0664ms,
Method: Delete, Data Type: Note, Iteration: 10, Elapsed: 507.624ms,
Method: Delete, Data Type: Note, Iteration: 100, Elapsed: 5.2867001s,
Method: Delete, Data Type: Note, Iteration: 1000, Elapsed: 53.768197s,
Method: Delete, Data Type: Note, Iteration: 10000, Elapsed: 8m45.6248286s,
Method: Delete, Data Type: User, Iteration: 1, Elapsed: 62.2921ms,
Method: Delete, Data Type: User, Iteration: 10, Elapsed: 511.7754ms,
Method: Delete, Data Type: User, Iteration: 100, Elapsed: 5.1805822s,
