Method: Insert, Data Type: User, Iteration: 1, Elapsed: 12.1862ms,
Method: Insert, Data Type: User, Iteration: 10, Elapsed: 50.3626ms,
Method: Insert, Data Type: User, Iteration: 100, Elapsed: 412.0364ms,
Method: Insert, Data Type: Note, Iteration: 1, Elapsed: 9.5242ms,
Method: Insert, Data Type: Note, Iteration: 10, Elapsed: 49.8856ms,
Method: Insert, Data Type: Note, Iteration: 100, Elapsed: 428.2107ms,
Method: Insert, Data Type: Note, Iteration: 1000, Elapsed: 4.2142546s,
Method: Insert, Data Type: Note, Iteration: 10000, Elapsed: 43.4784493s,
Method: Get, Data Type: User, Iteration: 1, Elapsed: 2.5753ms,
Method: Get, Data Type: User, Iteration: 10, Elapsed: 13.5039ms,
Method: Get, Data Type: User, Iteration: 100, Elapsed: 117.3457ms,
Method: Get, Data Type: Note, Iteration: 1, Elapsed: 5.3705ms,
Method: Get, Data Type: Note, Iteration: 10, Elapsed: 26.4339ms,
Method: Get, Data Type: Note, Iteration: 100, Elapsed: 184.2003ms,
Method: Get, Data Type: Note, Iteration: 1000, Elapsed: 1.7761493s,
Method: Get, Data Type: Note, Iteration: 10000, Elapsed: 17.8874643s,
Method: Get, Data Type: User Notes, Iteration: 1, Elapsed: 9.3006ms,
Method: Get, Data Type: User Notes, Iteration: 10, Elapsed: 87.1414ms,
Method: Get, Data Type: User Notes, Iteration: 100, Elapsed: 515.547ms,
Method: Patch, Data Type: User, Iteration: 1, Elapsed: 14.5669ms,
Method: Patch, Data Type: User, Iteration: 10, Elapsed: 63.4005ms,
Method: Patch, Data Type: User, Iteration: 100, Elapsed: 542.4787ms,
Method: Patch, Data Type: Note, Iteration: 1, Elapsed: 6.3695ms,
Method: Patch, Data Type: Note, Iteration: 10, Elapsed: 58.1015ms,
Method: Patch, Data Type: Note, Iteration: 100, Elapsed: 549.7359ms,
Method: Patch, Data Type: Note, Iteration: 1000, Elapsed: 4.8396689s,
Method: Patch, Data Type: Note, Iteration: 10000, Elapsed: 43.8200077s,
Method: Delete, Data Type: Note, Iteration: 1, Elapsed: 5.2725ms,
Method: Delete, Data Type: Note, Iteration: 10, Elapsed: 44.751ms,
Method: Delete, Data Type: Note, Iteration: 100, Elapsed: 414.8329ms,
Method: Delete, Data Type: Note, Iteration: 1000, Elapsed: 4.1366094s,
Method: Delete, Data Type: Note, Iteration: 10000, Elapsed: 44.2712385s,
Method: Delete, Data Type: User, Iteration: 1, Elapsed: 7.1623ms,
Method: Delete, Data Type: User, Iteration: 10, Elapsed: 49.5096ms,
Method: Delete, Data Type: User, Iteration: 100, Elapsed: 479.8772ms,
